dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-10-22 08:57:47.0,2017-10-22 09:54:51.0,3424,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-30 08:54:46.0,2017-10-30 09:49:14.0,3268,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-14 01:14:44.0,2017-11-14 01:18:58.0,254,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-14 03:12:44.0,2017-11-14 03:15:44.0,180,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-15 23:42:48.0,2017-11-15 23:46:48.0,240,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 00:24:49.0,2017-11-16 00:28:15.0,206,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 02:15:49.0,2017-11-16 02:22:17.0,388,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 02:22:17.0,2017-11-16 02:25:19.0,182,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 04:46:49.0,2017-11-16 04:51:22.0,273,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 18:19:51.0,2017-11-16 18:31:46.0,715,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 17:48:53.0,2017-11-20 17:51:53.0,180,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 17:52:53.0,2017-11-20 18:03:56.0,663,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 00:00:53.0,2017-11-21 00:04:07.0,194,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 00:08:01.0,2017-11-21 00:10:35.0,154,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 00:18:53.0,2017-11-21 00:21:29.0,156,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 00:38:53.0,2017-11-21 00:41:51.0,178,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 19:04:53.0,2017-11-21 19:19:57.0,904,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-22 22:59:53.0,2017-11-22 23:14:59.0,906,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-23 22:59:54.0,2017-11-23 23:15:01.0,907,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-24 22:59:55.0,2017-11-24 23:15:04.0,909,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-27 21:12:58.0,2017-11-27 21:17:27.0,269,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-27 22:59:58.0,2017-11-27 23:15:10.0,912,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-29 21:59:53.0,2017-11-29 22:15:14.0,921,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:18:53.0,2017-11-30 10:21:50.0,177,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:23:54.0,2017-11-30 10:26:30.0,156,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:55:53.0,2017-11-30 11:24:57.0,1744,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 21:59:47.0,2017-11-30 22:14:38.0,891,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-01 21:59:47.0,2017-12-01 22:14:36.0,889,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0002],
